Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i
Aluminum_1100_NIST,polylog,4.0,300.0,1.77019,-22.2781,118.428,-346.152,607.04,-653.666,422.192,-148.573,23.3917
Beryllium_Copper_NIST,polylog,2.0,80.0,0.0,-0.10501,0.68722,-1.6145,1.2788,0.71218,-1.6954,1.9319,-0.50015
CFRP_data,Chebyshev,0.1335,4.842,-5.002946874028258,1.1600274794500793,-0.08400073598039397,-0.01943825401479613,0.006349374436010242,,,,
G10_FR4_data,polylog,0.304381212,2.970783932,-3.6518670101230164,0.5649409434963556,0.15865082519728502,1.6460137401940347,-2.012930113448942,,,,
Glass_FabricPolyester_He_warp_NIST,polylog,38.0,300.0,0.0,-6.19597,87.4249,-524.309,1731.72,-3400.37,3967.07,-2543.63,689.532
Graphite_brad_ExcelNIST5a,lowTextrapolate,0.1,4.99,5.0,0.01,1.2715,0.0075,,,,,
Inconel_718_NIST,polylog,6.0,275.0,0.0,0.51115,-5.7205,26.7082,-67.2088,98.169,-83.4353,39.447,-8.28921
Invar_Fe36Ni_NIST,polylog,4.0,300.0,0.0,0.068508,-0.86018,4.40318,-11.9116,18.276,-15.923,8.5191,-2.7064
Kapton_data,polylog,0.536,307.0,0.04571031611922067,-0.40220737640876425,0.9095801150389825,0.3048706520162183,-2.403395085149163,,,,
Ketron_data,loglog,0.300389242,2.851,0.031481219979478205,-0.08734957699017917,0.06310064471055998,-0.01036979747532402,-64.04377567822762,60.30866363453162,-16.922718390712124,-0.8464801477947919,1.1995820307447715
Kevlar49_Composite_Aramid_NIST,NIST-experf,6.0,302.0,0.777857,-8.0,0.57,1.24851,1.98664,-2.65,,,
Lead_NIST,polylog,4.0,296.0,2.25162,-28.4512,152.94,-455.083,816.405,-900.938,597.566,-221.405,38.9635
Macor_data,polylog,0.337294102,3.21338073,-6.681816685055839,1.9692028507139947,0.5898589165454565,2.261884082992849,-2.409324776228448,,,,
Manganin_data,loglog,0.0103,1180.0,0.41683193646136074,-0.5459008531521881,0.21272687416163005,0.04201391871485445,0.08436824405766677,-0.635463048739945,2.166914823348274,-1.3376144584336012,1.027650350673277
Molybdenum_NIST,polylog,2.0,373.0,1.26814,-15.691,81.2666,-228.838,381.438,-384.504,228.574,-72.1307,10.7826
MylarPET_NIST,polylog,1.0,83.0,0.640331,-6.3479,26.1192,-57.6546,73.2476,-53.1244,20.5842,-3.40668,-1.37737
NbTi_data,loglog,0.115,19.7,0.002259045911518186,-0.010302949463111466,0.01737421923838405,-0.00026276285559410386,2.577477691477235,-6.390602923822824,6.36032014707622,-3.0076871536838174,1.6548331377219108
Nichrome_ExcelNIST5a,polylog,4.0,300.0,-1.5054,1.40318,0.171974,-0.129564,,,,,
Nickel_Steel_Fe_2.25_Ni_NIST,polylog,4.0,300.0,-0.28622,3.4277,-17.4348,49.08,-83.5016,87.812,-55.826,20.804,-3.5785
Nylon_NIST,polylog,4.0,300.0,0.0,0.0131,-0.2507,1.6324,-4.9155,7.1602,-4.7586,2.3239,-2.6135
Platinum_NIST,polylog,3.0,298.0,-1.93362,23.0957,-115.699,314.813,-503.89,481.629,-268.441,80.855,-7.3345
Polystyrene_2.0_lbft3_NIST,polylog,33.0,300.0,0.0,9.3968,-132.524,797.037,-2649.91,5260.11,-6234.29,4086.02,-1145.45
Polyurethane_2.0_lbft3_CO2_NIST,polylog,100.0,300.0,0.0,19.6609,-235.635,1090.29,-2214.43,778.842,4592.45,-7642.66,3788.43
PVC_1.25_lbft3_air_NIST,polylog,100.0,300.0,0.0,0.0,98.3525,-1302.71,7187.43,-21141.4,34964.2,-30824.3,11314.6
Stainless_Steel_304_data,loglog,0.3846,1672.0,-9.729200376379826e-10,1.23116954017754e-06,-0.0005800239607949509,0.1378260455086207,-1.1327819354566442,10.584076193393225,-32.39697813277676,33.92092330489871,525.2360328552695
Teflon_data,loglog,0.124,297.0,0.0012132239380273232,0.001270188390348959,0.0017216766539583231,5.910877405318336e-05,0.2683552974775933,-1.422792263054871,2.568610270612604,-2.609502231631502,1.071179367295838
Ti6Al4V_data,loglog,0.0566,1173.15,-0.04264733045687074,0.05868089761918108,0.026200954632557782,-0.0006710181403184705,0.1310076440988249,-0.8289746037725881,2.22456962327582,-1.5608008783143563,1.2259045645416584
Titanium_15333_NIST,polylog,1.4,300.0,-0.270453,3.11162,-14.9418,38.8932,-59.6714,54.8714,-29.1929,8.97074,-2.39879
Torlon_data,loglog,0.303,2.977,0.012377470609051694,-0.03382003821057539,0.03313802694582706,-0.004408509354477406,-187.9789721334367,161.46206999175982,-36.083481471829174,-0.8020296612572547,1.5970936501659798
VESPEL_data,loglog,0.0703,3.032,-0.005027894677703779,0.004313385916851126,0.0018239441224720786,-3.219574527485538e-05,-48.993734561454495,58.393418182021385,-21.522425293712434,0.18243184835922363,1.4449327622295676
