Crowley,Tlow_1.4K,2022
T,k,koT
1.4775,0.008731423773307694,0.005909593078380842
1.5575,0.009630246808795224,0.006183144018488105
1.6600000000000001,0.009549994752055296,0.005753008886780298
1.79,0.010524484012469087,0.005879600006965971
1.94,0.011255350957779443,0.005801727297824456
2.0975,0.012120782612319506,0.005778680625658882
2.2725,0.01220162064661257,0.005369250009510483
2.4699999999999998,0.013482790814506916,0.0054586197629582665
2.6725,0.01470146487665028,0.005501015856557635
3.0075000000000003,0.01500930539755353,0.004990625236094274
3.49,0.016496591114220187,0.004726816938171973
4.02,0.016995114472067543,0.0042276404159372
