Crowley,tube_Tlow_0.1K,2022
T,k,koT
0.1335,0.479637,3.5927865168539324
0.14826,0.5648810000000001,3.810070147038986
0.16627,0.648124,3.898021290671799
0.18578,0.7692410000000001,4.140601787059964
0.20623,0.8969590000000001,4.349313872860399
0.22706,1.040699,4.5833656302298955
0.2487,1.15587,4.647647768395657
0.26927,1.378122,5.1179930924351025
0.29148,1.42653,4.894092219020173
0.31272,1.64869,5.272096444103351
0.33344,1.851019,5.551280590211132
0.35471,1.959962,5.5255335344365815
0.37606,2.108821,5.607671648141253
0.3976,2.245013,5.646410965794769
0.41826,2.502205,5.982415244106536
0.43948,2.593236,5.900691726585966
0.45977,2.876361,6.2560867390216846
0.48118,2.8818799999999998,5.989193233301467
0.50163,3.1801440000000003,6.339620836074398
0.52282,3.2263729999999997,6.17109712711832
0.54248,3.6471590000000003,6.723121589736028
0.56318,3.6250929999999997,6.43682836748464
0.58344,3.868496,6.630494995200878
0.60097,4.661074,7.7559179326755086
0.6217,4.102341,6.5985861347917
0.64157,4.447972,6.932948859828234
0.66073,4.7867489999999995,7.244636992417476
0.68048,4.812678,7.0724753115447925
0.69906,5.2951179999999995,7.5746259262438125
0.71833,5.27865,7.348502777275068
0.73924,5.024031,6.796210973432173
0.75793,5.799474,7.651727732112464
0.77819,5.514397,7.086183322838894
0.7967,6.216173,7.8024011547634
0.8161,6.102797,7.478001470408038
0.83515,6.390055,7.651385978566726
0.85395,6.652311999999999,7.7900485976930725
0.87306,6.7189820000000005,7.695899479989921
0.89303,6.596697000000001,7.386870541863096
0.91203,7.108892,7.794581318596976
0.93056,7.469252,8.02662052957359
0.94828,7.998956999999999,8.435226937191546
0.96628,8.05969,8.340946723516993
0.98533,7.790589,7.906578506693188
1.00381,8.211602000000001,8.18043454438589
1.02213,8.465245999999999,8.281966090419026
1.04304,7.575611,7.263011006289308
