CST Graphlite CF Rode,RunyanJones,2008
T_bar,k (W/m*K),k/T
0.308784749,0.001529778,0.004954188
0.320123395,0.001749156,0.005464006
0.324602086,0.001773314,0.005463041
0.336714812,0.001948833,0.005787785
0.35050853,0.00210502,0.006005618
0.377357542,0.002359049,0.006251494
0.412895001,0.002720133,0.006587953
0.478018528,0.003347862,0.007003625
0.546501718,0.004026656,0.007368057
0.616370433,0.004706034,0.007635075
0.747477939,0.005892705,0.007883451
0.886719032,0.007211674,0.008132986
1.016445275,0.008328028,0.008193287
1.580517263,0.012795096,0.008095512
2.290253523,0.017093486,0.007463578
2.872955223,0.019818875,0.006898428
